"species"	"cap_shape"	"cap_surface"	"cap_color"	"bruises"	"odor"	"gill_attachment"	"gill_spacing"	"gill_size"	"gill_color"	"stalk_shape"	"stalk_root"	"stalk_surface"	"stalk_color"	"veil_color"	"ring_number"	"ring_type"	"spore_print_color"	"population"	"habitat"
"16"	"cityshroom"	"sunken"	"fibrous"	"gray"	"no"	"none"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"urban"
"17"	"grassia"	"flat"	"fibrous"	"white"	"no"	"none"	"free"	"crowded"	"broad"	"black"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"brown"	"abundant"	"grasses"
"18"	"bulbroot"	"convex"	"scaly"	"brown"	"yes"	"pungent"	"free"	"close"	"narrow"	"brown"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"grasses"
"19"	"pungentia"	"convex"	"smooth"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"brown"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"urban"
"20"	"bulbroot"	"convex"	"scaly"	"brown"	"yes"	"pungent"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"urban"
"21"	"yellowcap"	"bell"	"scaly"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"meadows"
"22"	"bulbroot"	"convex"	"smooth"	"brown"	"yes"	"pungent"	"free"	"close"	"narrow"	"brown"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"grasses"
"23"	"bellshroom"	"bell"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"meadows"
"24"	"bellshroom"	"bell"	"smooth"	"white"	"yes"	"almond"	"free"	"close"	"broad"	"white"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"meadows"
"25"	"bellshroom"	"bell"	"scaly"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"meadows"
"26"	"bulbroot"	"flat"	"scaly"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"brown"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"grasses"
"27"	"yellowcap"	"convex"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"meadows"
"28"	"bellshroom"	"convex"	"smooth"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"white"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"meadows"
"29"	"cityshroom"	"flat"	"fibrous"	"brown"	"no"	"none"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"urban"
"30"	"convexcap"	"convex"	"scaly"	"yellow"	"yes"	"almond"	"free"	"crowded"	"narrow"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"31"	"bellshroom"	"bell"	"scaly"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"meadows"
"32"	"pungentia"	"convex"	"smooth"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"urban"
"33"	"bellshroom"	"convex"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"meadows"
"34"	"velvet"	"convex"	"smooth"	"brown"	"yes"	"anise"	"free"	"close"	"broad"	"pink"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"paths"
"35"	"bellshroom"	"bell"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"meadows"
"36"	"convexcap"	"convex"	"fibrous"	"yellow"	"yes"	"anise"	"free"	"crowded"	"narrow"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"37"	"cityshroom"	"sunken"	"fibrous"	"gray"	"no"	"none"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"urban"
"38"	"bulbroot"	"convex"	"smooth"	"brown"	"yes"	"pungent"	"free"	"close"	"narrow"	"white"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"urban"
"39"	"convexcap"	"convex"	"fibrous"	"yellow"	"yes"	"almond"	"free"	"crowded"	"narrow"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"40"	"yellowcap"	"bell"	"scaly"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"meadows"
"41"	"yellowcap"	"bell"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"grasses"
"42"	"velvet"	"convex"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"brown"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"paths"
"43"	"cityshroom"	"convex"	"fibrous"	"brown"	"no"	"none"	"free"	"close"	"narrow"	"gray"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"urban"
"44"	"pungentia"	"convex"	"smooth"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"pink"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"grasses"
"45"	"yellowcap"	"convex"	"scaly"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"white"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"meadows"
"46"	"yellowcap"	"convex"	"smooth"	"white"	"yes"	"almond"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"grasses"
"47"	"yellowcap"	"convex"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"meadows"
"48"	"bellshroom"	"convex"	"scaly"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"white"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"meadows"
"49"	"velvet"	"convex"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"brown"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"paths"
"50"	"velvet"	"flat"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"white"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"paths"
"51"	"velvet"	"convex"	"smooth"	"brown"	"yes"	"almond"	"free"	"close"	"broad"	"white"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"grasses"
"52"	"yellowcap"	"convex"	"scaly"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"grasses"
"53"	"bellshroom"	"bell"	"scaly"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"meadows"
"54"	"pungentia"	"convex"	"smooth"	"brown"	"yes"	"pungent"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"urban"
"55"	"pungentia"	"convex"	"scaly"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"urban"
"56"	"yellowcap"	"bell"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"white"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"meadows"
"57"	"grassia"	"flat"	"fibrous"	"gray"	"no"	"none"	"free"	"crowded"	"broad"	"brown"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"brown"	"abundant"	"grasses"
"58"	"bellshroom"	"bell"	"scaly"	"white"	"yes"	"almond"	"free"	"close"	"broad"	"white"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"grasses"
"59"	"yellowcap"	"convex"	"scaly"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"grasses"
"60"	"velvet"	"convex"	"smooth"	"brown"	"yes"	"almond"	"free"	"close"	"broad"	"pink"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"paths"
"61"	"cityshroom"	"sunken"	"fibrous"	"gray"	"no"	"none"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"urban"
"62"	"bellshroom"	"bell"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"meadows"
"63"	"bellshroom"	"bell"	"scaly"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"meadows"
"64"	"bellshroom"	"bell"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"meadows"
"65"	"bellshroom"	"bell"	"smooth"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"grasses"
"66"	"slimpipe"	"flat"	"scaly"	"brown"	"no"	"none"	"free"	"crowded"	"broad"	"black"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"black"	"abundant"	"grasses"
"67"	"yellowcap"	"convex"	"scaly"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"grasses"
"68"	"velvet"	"flat"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"white"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"grasses"
"69"	"yellowcap"	"convex"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"white"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"grasses"
"70"	"cityshroom"	"convex"	"fibrous"	"gray"	"no"	"none"	"free"	"close"	"narrow"	"pink"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"urban"
"71"	"graystalk"	"flat"	"fibrous"	"yellow"	"yes"	"anise"	"free"	"crowded"	"narrow"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"72"	"bellshroom"	"bell"	"smooth"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"meadows"
"73"	"graystalk"	"flat"	"fibrous"	"yellow"	"yes"	"anise"	"free"	"crowded"	"narrow"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"74"	"velvet"	"convex"	"smooth"	"brown"	"yes"	"almond"	"free"	"close"	"broad"	"pink"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"paths"
"75"	"yellowcap"	"bell"	"scaly"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"grasses"
"76"	"convexcap"	"flat"	"scaly"	"yellow"	"yes"	"anise"	"free"	"crowded"	"narrow"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"wood"
"77"	"convexcap"	"convex"	"scaly"	"white"	"yes"	"anise"	"free"	"crowded"	"narrow"	"brown"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"purple"	"several"	"wood"
"78"	"velvet"	"flat"	"smooth"	"brown"	"yes"	"anise"	"free"	"close"	"broad"	"pink"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"paths"
"79"	"pungentia"	"convex"	"smooth"	"brown"	"yes"	"pungent"	"free"	"close"	"narrow"	"white"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"urban"
"80"	"velvet"	"flat"	"smooth"	"brown"	"yes"	"almond"	"free"	"close"	"broad"	"brown"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"grasses"
"81"	"slimpipe"	"convex"	"scaly"	"brown"	"no"	"none"	"free"	"crowded"	"broad"	"black"	"tapering"	"equal"	"fibrous"	"purple"	"white"	"one"	"evanescent"	"brown"	"scattered"	"grasses"
"82"	"pungentia"	"convex"	"smooth"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"white"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"grasses"
"83"	"cityshroom"	"flat"	"fibrous"	"gray"	"no"	"none"	"free"	"close"	"narrow"	"brown"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"urban"
"84"	"grassia"	"convex"	"fibrous"	"gray"	"no"	"none"	"free"	"crowded"	"broad"	"brown"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"brown"	"scattered"	"grasses"
"85"	"velvet"	"convex"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"white"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"grasses"
"86"	"slimpipe"	"convex"	"scaly"	"brown"	"no"	"none"	"free"	"crowded"	"broad"	"black"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"black"	"scattered"	"grasses"
"87"	"yellowcap"	"bell"	"scaly"	"white"	"yes"	"almond"	"free"	"close"	"broad"	"white"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"grasses"
"88"	"yellowcap"	"convex"	"scaly"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"grasses"
"89"	"velvet"	"flat"	"smooth"	"brown"	"yes"	"anise"	"free"	"close"	"broad"	"white"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"grasses"
"90"	"cityshroom"	"sunken"	"fibrous"	"brown"	"no"	"none"	"free"	"close"	"narrow"	"brown"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"urban"
"91"	"cityshroom"	"convex"	"fibrous"	"brown"	"no"	"none"	"free"	"close"	"narrow"	"brown"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"urban"
"92"	"yellowcap"	"bell"	"scaly"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"grasses"
"93"	"yellowcap"	"convex"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"grasses"
"94"	"bellshroom"	"convex"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"meadows"
"95"	"grassia"	"convex"	"scaly"	"brown"	"no"	"none"	"free"	"crowded"	"broad"	"brown"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"brown"	"abundant"	"grasses"
"96"	"yellowcap"	"convex"	"scaly"	"white"	"yes"	"almond"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"grasses"
"97"	"velvet"	"flat"	"smooth"	"brown"	"yes"	"anise"	"free"	"close"	"broad"	"pink"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"grasses"
"98"	"yellowcap"	"convex"	"scaly"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"grasses"
"99"	"yellowcap"	"bell"	"scaly"	"white"	"yes"	"almond"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"grasses"
"100"	"yellowcap"	"convex"	"smooth"	"white"	"yes"	"almond"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"grasses"
"101"	"slimpipe"	"convex"	"fibrous"	"brown"	"no"	"none"	"free"	"crowded"	"broad"	"pink"	"tapering"	"equal"	"fibrous"	"purple"	"white"	"one"	"evanescent"	"black"	"scattered"	"grasses"
"102"	"yellowcap"	"bell"	"scaly"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"grasses"
"103"	"velvet"	"flat"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"white"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"grasses"
"104"	"velvet"	"convex"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"brown"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"paths"
"105"	"bellshroom"	"bell"	"smooth"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"grasses"
"106"	"yellowcap"	"convex"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"meadows"
"107"	"velvet"	"convex"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"white"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"grasses"
"108"	"bellshroom"	"bell"	"smooth"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"meadows"
"109"	"bellshroom"	"bell"	"smooth"	"white"	"yes"	"almond"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"meadows"
"110"	"yellowcap"	"convex"	"scaly"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"meadows"
"111"	"yellowcap"	"convex"	"scaly"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"white"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"grasses"
"112"	"cityshroom"	"sunken"	"fibrous"	"gray"	"no"	"none"	"free"	"close"	"narrow"	"gray"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"urban"
"113"	"convexcap"	"convex"	"fibrous"	"white"	"yes"	"almond"	"free"	"crowded"	"narrow"	"white"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"purple"	"several"	"wood"
"114"	"yellowcap"	"convex"	"scaly"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"meadows"
"115"	"pungentia"	"convex"	"smooth"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"brown"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"urban"
"116"	"velvet"	"convex"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"pink"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"grasses"
"117"	"cityshroom"	"sunken"	"fibrous"	"gray"	"no"	"none"	"free"	"close"	"narrow"	"pink"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"urban"
"118"	"velvet"	"convex"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"white"	"enlarging"	"rooted"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"solitary"	"grasses"
"119"	"convexcap"	"convex"	"scaly"	"yellow"	"yes"	"anise"	"free"	"crowded"	"narrow"	"pink"	"tapering"	"bulbous"	"smooth"	"purple"	"white"	"one"	"pendant"	"purple"	"several"	"wood"
"120"	"cityshroom"	"sunken"	"fibrous"	"brown"	"no"	"none"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"solitary"	"urban"
"121"	"pungentia"	"convex"	"scaly"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"grasses"
"122"	"bellshroom"	"convex"	"smooth"	"white"	"yes"	"almond"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"meadows"
"123"	"bulbroot"	"flat"	"smooth"	"brown"	"yes"	"pungent"	"free"	"close"	"narrow"	"pink"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"grasses"
"124"	"grassia"	"flat"	"scaly"	"gray"	"no"	"none"	"free"	"crowded"	"broad"	"black"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"brown"	"abundant"	"grasses"
"125"	"yellowcap"	"convex"	"scaly"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"meadows"
"126"	"slimpipe"	"convex"	"scaly"	"white"	"no"	"none"	"free"	"crowded"	"broad"	"brown"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"black"	"scattered"	"grasses"
